"&","&amp;","&#38;","&#x0026;","yes",1
"'","&apos;","&#39;","&#x0027;","yes",0
">","&gt;","&#62;","&#x003E;","yes",0
"<","&lt;","&#60;","&#x003C;","yes",0
"\"","&quot;","&#34;","$#x0022;","yes",0
" ","&emsp;","&#8195;","&#x2003;","yes",0
" ","&ensp;","&#8194;","&#x2002;","yes",0
" ","&nbsp;","&#160;","&#x00A0;","yes",0
" ","&thinsp;","&#8201;","&#x2009;","yes",0
"Á","&Aacute;","&#193;","&#x00C1;","no",-1
"á","&aacute;","&#225;","&#x00E1;","no",-1
"Â","&Acirc;","&#194;","&#x00C2;","no",-1
"â","&acirc;","&#226;","&#x00E2;","no",-1
"´","&acute;","&#180;","&#x00B4;","no",-1
"Æ","&AElig;","&#198;","&#x00C6;","no",-1
"æ","&aelig;","&#230;","&#x00E6;","no",-1
"À","&Agrave;","&#192;","&#x00C0;","no",-1
"à","&agrave;","&#224;","&#x00E0;","no",-1
"ℵ","&alefsym;","&#8501;","&#x2135;","no",-1
"Α","&Alpha;","&#913;","&#x0391;","no",-1
"α","&alpha;","&#945;","&#x03B1;","no",-1
"∧","&and;","&#8743;","&#x2227;","no",-1
"∠","&ang;","&#8736;","&#x2220;","no",-1
"Å","&Aring;","&#197;","&#x00C5;","no",-1
"å","&aring;","&#229;","&#x00E5;","no",-1
"≈","&asymp;","&#8776;","&#x2248;","no",-1
"Ã","&Atilde;","&#195;","&#x00C3;","no",-1
"ã","&atilde;","&#227;","&#x00E3;","no",-1
"Ä","&Auml;","&#196;","&#x00C4;","no",-1
"ä","&auml;","&#228;","&#x00E4;","no",-1
"„","&bdquo;","&#8222;","&#x201E;","no",-1
"Β","&Beta;","&#914;","&#x0392;","no",-1
"β","&beta;","&#946;","&#x03B2;","no",-1
"¦","&brvbar;","&#166;","&#x00A6;","no",-1
"•","&bull;","&#8226;","&#x2022;","no",-1
"∩","&cap;","&#8745;","&#x2229;","no",-1
"Ç","&Ccedil;","&#199;","&#x00C7;","no",-1
"ç","&ccedil;","&#231;","&#x00E7;","no",-1
"¸","&cedil;","&#184;","&#x00B8;","no",-1
"¢","&cent;","&#162;","&#x00A2;","no",-1
"Χ","&Chi;","&#935;","&#x03A7;","no",-1
"χ","&chi;","&#967;","&#x03C7;","no",-1
"ˆ","&circ;","&#710;","&#x02C6;","no",-1
"♣","&clubs;","&#9827;","&#x2663;","no",-1
"≅","&cong;","&#8773;","&#x2245;","no",-1
"©","&copy;","&#169;","&#x00A9;","no",-1
"↵","&crarr;","&#8629;","&#x21B5;","no",-1
"∪","&cup;","&#8746;","&#x222A;","no",-1
"¤","&curren;","&#164;","&#x00A4;","no",-1
"†","&dagger;","&#8224;","&#x2020;","no",-1
"‡","&Dagger;","&#8225;","&#x2021;","no",-1
"↓","&darr;","&#8595;","&#x2193;","no",-1
"⇓","&dArr;","&#8659;","&#x21D3;","no",-1
"°","&deg;","&#176;","&#x00B0;","no",-1
"Δ","&Delta;","&#916;","&#x0394;","no",-1
"δ","&delta;","&#948;","&#x03B4;","no",-1
"♦","&diams;","&#9830;","&#x2666;","no",-1
"÷","&divide;","&#247;","&#x00F7;","no",-1
"É","&Eacute;","&#201;","&#x00C9;","no",-1
"é","&eacute;","&#233;","&#x00E9;","no",-1
"Ê","&Ecirc;","&#202;","&#x00CA;","no",-1
"ê","&ecirc;","&#234;","&#x00EA;","no",-1
"È","&Egrave;","&#200;","&#x00C8;","no",-1
"è","&egrave;","&#232;","&#x00E8;","no",-1
"∅","&empty;","&#8709;","&#x2205;","no",-1
"Ε","&Epsilon;","&#917;","&#x0395;","no",-1
"ε","&epsilon;","&#949;","&#x03B5;","no",-1
"≡","&equiv;","&#8801;","&#x2261;","no",-1
